Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/pasmaeva/86ab2c58-452b-4fe3-b7be-1d94a5a00194	239G	198G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aalexandrova/f13dcd31-f3f4-461b-96a3-ddb5aaa2c48c	518G	360G
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aratnovskiy/60af2b98-a054-4e33-839c-7c13e1e4c70a	239G	124G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aaliev/49fa74f0-718f-4810-8a26-1ad9b5128a3b	239G	69G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/astrezhneva/22f290fc-93cb-4c79-aae9-d5c3c69126f6	239G	104G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/arumyantseva/d95c496d-da71-415a-9d3d-9b58a3809c7c	239G	68G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/bkarpovich/062403ad-307f-4831-9565-49637b56f4cb	239G	140G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/tsorokina/8952a1e9-ddf9-44e1-9336-c2d0c24cb74b	239G	71G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/mipt_dbmp_biotechnology/2427d77e-d290-4a87-afd5-64421a3d259f	239G	213G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/nzayats/82e848ae-a17c-47f9-8e99-fbd5ee174014	239G	28G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/dskripka/c6babf28-0a2d-4ea2-b3aa-c182c45245a9	239G	6.9G
